dataset	caller	fold.id	training.error	optimal.param	test.error
240	H3K4me3_PGP_immune	homer.default	4	23.8425925925926	0	30.4938271604938
241	H3K4me3_TDH_immune	homer.default	1	20.8061002178649	0	23.4204793028322
242	H3K4me3_TDH_immune	homer.default	2	24.2165242165242	0	12.5
243	H3K4me3_TDH_immune	homer.default	3	20.6756206756207	0	23.0452674897119
244	H3K4me3_TDH_immune	homer.default	4	20.1201201201201	0	27.4074074074074
245	H3K4me3_TDH_other	homer.default	1	20.561797752809	0	24.375
246	H3K4me3_TDH_other	homer.default	2	21.2380952380952	0	24.0625
247	H3K4me3_TDH_other	homer.default	3	21.1926605504587	0	24.6428571428571
248	H3K4me3_TDH_other	homer.default	4	24.3518518518519	0	12.7586206896552
249	H3K4me3_XJ_immune	homer.default	1	35.1851851851852	0	28.2051282051282
250	H3K4me3_XJ_immune	homer.default	2	36.0185185185185	0	23.9057239057239
251	H3K4me3_XJ_immune	homer.default	3	28.8065843621399	0	44.4444444444444
252	H3K4me3_XJ_immune	homer.default	4	33.2383665716999	0	33.9506172839506
253	H3K36me3_AM_immune	homer.trained	1	24.4688644688645	0	31.4814814814815
254	H3K36me3_AM_immune	homer.trained	2	21.623731459797	0	38.0952380952381
255	H3K36me3_AM_immune	homer.trained	3	27.3015873015873	0	22.5672877846791
256	H3K36me3_AM_immune	homer.trained	4	30.5366591080877	0	11.6666666666667
257	H3K36me3_TDH_immune	homer.trained	1	53.9047619047619	0	70.4761904761905
258	H3K36me3_TDH_immune	homer.trained	2	62.5258799171843	0	37.4149659863946
259	H3K36me3_TDH_immune	homer.trained	3	54.2443064182195	0	64.6258503401361
260	H3K36me3_TDH_immune	homer.trained	4	55.8897243107769	1e-09	58.008658008658
261	H3K36me3_TDH_other	homer.trained	1	47.2222222222222	0	53.5714285714286
262	H3K36me3_TDH_other	homer.trained	2	53.2894736842105	0	35.4166666666667
263	H3K36me3_TDH_other	homer.trained	3	51.3888888888889	0	42.8571428571429
264	H3K36me3_TDH_other	homer.trained	4	44.375	0	67.5
265	H3K4me3_PGP_immune	homer.trained	1	25.7388701833146	0	24.1171403962102
266	H3K4me3_PGP_immune	homer.trained	2	25.822083766009	0	23.4920634920635
267	H3K4me3_PGP_immune	homer.trained	3	25.6858710562414	0	23.8562091503268
268	H3K4me3_PGP_immune	homer.trained	4	23.8425925925926	0	30.4938271604938
269	H3K4me3_TDH_immune	homer.trained	1	20.8061002178649	0	23.4204793028322
270	H3K4me3_TDH_immune	homer.trained	2	24.2165242165242	0	12.5
271	H3K4me3_TDH_immune	homer.trained	3	20.6756206756207	0	23.0452674897119
272	H3K4me3_TDH_immune	homer.trained	4	20.1201201201201	0	27.4074074074074
273	H3K4me3_TDH_other	homer.trained	1	20.561797752809	0	24.375
274	H3K4me3_TDH_other	homer.trained	2	21.2380952380952	0	24.0625
275	H3K4me3_TDH_other	homer.trained	3	21.1926605504587	0	24.6428571428571
276	H3K4me3_TDH_other	homer.trained	4	24.3518518518519	0	12.7586206896552
277	H3K4me3_XJ_immune	homer.trained	1	35.0877192982456	1e-300	29.6296296296296
278	H3K4me3_XJ_immune	homer.trained	2	36.0185185185185	0	23.9057239057239
279	H3K4me3_XJ_immune	homer.trained	3	28.8065843621399	0	44.4444444444444
280	H3K4me3_XJ_immune	homer.trained	4	33.2383665716999	0	33.9506172839506
281	H3K36me3_AM_immune	macs.broad.default	1	20.4395604395604	1.30103	28.8359788359788
282	H3K36me3_AM_immune	macs.broad.default	2	18.6572989851678	1.30103	32.2510822510823
283	H3K36me3_AM_immune	macs.broad.default	3	23.4920634920635	1.30103	19.047619047619
284	H3K36me3_AM_immune	macs.broad.default	4	26.4550264550265	1.30103	9.04761904761905
285	H3K36me3_TDH_immune	macs.broad.default	1	51.6190476190476	1.30103	66.6666666666667
286	H3K36me3_TDH_immune	macs.broad.default	2	59.0062111801242	1.30103	38.0952380952381
287	H3K36me3_TDH_immune	macs.broad.default	3	50.3105590062112	1.30103	66.6666666666667
288	H3K36me3_TDH_immune	macs.broad.default	4	56.140350877193	1.30103	50.6493506493507
